class,rank,gene,coef,class_direction_score,abs_coef
STAD,11,MUC6,0.08024112531815103,0.08024112531815103,0.08024112531815103
STAD,12,C11orf9,0.07943903731212314,0.07943903731212314,0.07943903731212314
STAD,13,MYH14,0.07924871770378936,0.07924871770378936,0.07924871770378936
STAD,14,GOLGA4,0.07753272639157133,0.07753272639157133,0.07753272639157133
STAD,15,MKI67,0.07488789046226003,0.07488789046226003,0.07488789046226003
THCA,1,FN1,0.0709458983258082,0.0709458983258082,0.0709458983258082
THCA,2,CTSB,0.051171402644752555,0.051171402644752555,0.051171402644752555
THCA,3,TSHR,0.043464489265703475,0.043464489265703475,0.043464489265703475
THCA,4,ID4,0.04271706295188077,0.04271706295188077,0.04271706295188077
THCA,5,FOXE1,0.04006082204628531,0.04006082204628531,0.04006082204628531
THCA,6,GAS6,0.03861184018662465,0.03861184018662465,0.03861184018662465
THCA,7,ST3GAL5,0.03823537304219002,0.03823537304219002,0.03823537304219002
THCA,8,PAX8,0.038193241496516386,0.038193241496516386,0.038193241496516386
THCA,9,NPNT,0.03815428187133027,0.03815428187133027,0.03815428187133027
THCA,10,INPP5J,0.037251561473178395,0.037251561473178395,0.037251561473178395
THCA,11,AFAP1L2,0.03689596583870085,0.03689596583870085,0.03689596583870085
THCA,12,EMB,0.03657978566854022,0.03657978566854022,0.03657978566854022
THCA,13,CPVL,0.0364523815418006,0.0364523815418006,0.0364523815418006
THCA,14,GPR56,0.03626527922790559,0.03626527922790559,0.03626527922790559
THCA,15,CXCL14,0.036099293777845085,0.036099293777845085,0.036099293777845085
UCEC,1,DBN1,0.0964822588296586,0.0964822588296586,0.0964822588296586
UCEC,2,PRAME,0.08339258338750517,0.08339258338750517,0.08339258338750517
UCEC,3,HMOX1,0.0769141964339573,0.0769141964339573,0.0769141964339573
UCEC,4,SOX17,0.07610709411437196,0.07610709411437196,0.07610709411437196
UCEC,5,MECOM,0.07238891760654856,0.07238891760654856,0.07238891760654856
UCEC,6,ASRGL1,0.07229790105570573,0.07229790105570573,0.07229790105570573
UCEC,7,PTMA,0.06730868829501063,0.06730868829501063,0.06730868829501063
UCEC,8,MSX1,0.06655410868299967,0.06655410868299967,0.06655410868299967
UCEC,9,HNRNPA0,0.06352858963820121,0.06352858963820121,0.06352858963820121
UCEC,10,PSAT1,0.062013929210438176,0.062013929210438176,0.062013929210438176
