gene,max_abs_coef
ACTN1,0.29518359662107313
ADAM6,0.29480754156868405
RPS10,0.2945115052087776
NPNT,0.29392694883289266
NPM1,0.29374138355180185
HLA-DQA1,0.29312186153132125
MGAT4B,0.2921121860793723
ABCC5,0.2914523570375869
RPL6,0.2909068270627535
KLK5,0.2908269636027823
TNS3,0.29054539330386425
FNDC1,0.29032872937501797
A2ML1,0.28974376393023515
ARHGDIA,0.28950489661946677
VCAM1,0.2894302335970522
HUWE1,0.28939490253968164
ARHGDIB,0.2892310084299103
ACTN4,0.28916060383043835
GSTA1,0.2884408901112147
TGFBI,0.2880569435772979
EEF1G,0.2880547485278325
ATF4,0.28714022101529796
CEACAM6,0.2871329768935349
BCAP31,0.28685073212395273
MUC13,0.28649020350076265
CXCL14,0.2861433772295718
CCT4,0.28514811055524203
RGMA,0.28490169694385575
VDAC1,0.28462217332641615
SGK1,0.2840877346128269
COL17A1,0.28321947378953993
ALDH3B2,0.28255581805905466
TXNIP,0.2816180576958822
LBH,0.2808847608583901
HNRNPUL1,0.27984387818161816
DDX17,0.2798029275692097
PTMS,0.279053881083245
SORL1,0.27894765477884337
CXCR4,0.27867516292722005
UCP2,0.2785669195354386
EFEMP1,0.27814460663657187
RPS21,0.2775891071337163
DDR1,0.2775725745045853
RPN2,0.27627132436687174
NUCKS1,0.2760841617898615
PSMD3,0.275665143125282
COL18A1,0.2754571965547211
AHNAK2,0.27482499386656256
GCG,0.27383653202678815
MEST,0.2728720495728765
GDI2,0.2727955333156494
TKT,0.27229378543019844
CMPK1,0.2722411353193442
FKBP4,0.27165879610135546
VCP,0.2708420210485439
TXNDC5,0.270680533101347
HM13,0.26983593233068737
TMED10,0.26898833344979656
GGH,0.26839746512080126
SPINK4,0.2683449129807506
PFN2,0.26802910597775553
HMGCS1,0.26742641411930146
BCL2L1,0.26718945781572995
GBP2,0.2667713130274052
CLDN7,0.26641323940591327
SLC1A5,0.2661381424027567
MDM2,0.26609165692451037
RERE,0.2655729678127395
ERBB3,0.265444830843191
TMBIM1,0.26544278673193367
RAB7A,0.26535918584796264
EIF3CL,0.2639857877076575
MYH14,0.2634763877395512
IGFBP2,0.26250895423557047
TNFRSF21,0.26239124085786764
GPNMB,0.26212375226514795
LGALS1,0.2621197412924004
SLC6A8,0.26197084547532834
LPCAT1,0.26158780992807057
PLP2,0.26093223821106976
TIMP1,0.26092707438155044
SFRP1,0.26083851529125157
CRISP3,0.26058764761353975
RPSAP58,0.26028170129135564
ATP2A2,0.2601117665478811
PKN1,0.2599056879369845
ANXA11,0.25936131413964053
ST6GAL1,0.2591625551435619
LAMB3,0.2589470895519523
CTNNB1,0.2589416193125683
PFN1,0.2575937789720343
ADAMTS1,0.25706263105676197
PRSS8,0.2568622785344938
COL4A2,0.2567741414731072
RPS2,0.2561127742232247
HABP2,0.25609237220119263
RPL10,0.25591094098346867
SSR2,0.2553698722447757
LTBP4,0.25498767185958277
SYNE2,0.25447622299969525
PIK3R1,0.2542475726719251
MUC4,0.2541494517147281
PPP3CA,0.25312676013337426
PGD,0.2531085151149194
LRP10,0.2529672675018666
MCAM,0.2529445838288381
ACSL5,0.2529299087527605
KRT18,0.25236877837004557
KRT23,0.25188236396655234
ILF3,0.2515136503093704
DIO2,0.25138518047885483
NUCB1,0.25131065931034513
HLA-E,0.25104126923352804
ORMDL3,0.25097252624322475
MYO1C,0.2508591969497359
PRPF8,0.25049052344102946
PSAP,0.2502172531271306
DMBT1,0.24990518470081902
FLNB,0.2496800669571684
TPM4,0.24877740074913596
AHNAK,0.2486040759539771
IDH2,0.2481735584256606
PGC,0.24721120707307778
EEF1D,0.2471304511070403
RPL32,0.24710654246397967
CTNNA1,0.24665202739709582
CD248,0.2465720773744719
HLA-H,0.24647805432989253
GAS6,0.24563802573145357
H3F3B,0.24546567759759846
PABPC4,0.24539501722685014
UBA1,0.24530332225455087
TH,0.24511361632488815
CAST,0.2448982087267821
FADS1,0.2446348757755149
AQP1,0.24456335573958332
RNASET2,0.24431809705547644
KLK1,0.24381298183578587
SLC38A1,0.2434534314829097
TM4SF4,0.24344455120420952
PROM2,0.24334734991046553
DAP,0.24314598253473663
DUSP6,0.2430241876774774
KRT6C,0.2428991791944666
MPZL2,0.24249416716766517
ALDH1A1,0.24234477659419723
C1orf43,0.24197043459946396
ENO1,0.241776531011159
HLA-B,0.24170517758515156
LTF,0.2415885116831472
CDH17,0.24125982966465612
CLSTN1,0.24105677971004827
B4GALT1,0.24078551050620756
SOCS3,0.2399597706304608
THBS1,0.23995452157993385
MAOA,0.23990573576533641
CXCL5,0.23895530395701917
EFHD2,0.23893541359236806
GPC1,0.23826422042222292
CALM2,0.23793420411757488
TAGLN,0.23740309548163
ADAM15,0.23684968460347278
COL3A1,0.23653776596412113
NBL1,0.23516813453486962
DHCR24,0.23441839047271054
ITGAV,0.23371760000605757
MDH2,0.23206840651690328
COL1A2,0.2320220236229744
TFRC,0.2316084035012559
TUBB6,0.23122639454565505
MLEC,0.23026904903180678
KLK7,0.23023648339163058
TPD52,0.22985188329537742
TSPAN3,0.22979075548789854
LASS2,0.22968581506350777
SYT7,0.22962194628871008
FSCN1,0.2292232022852732
PTGFRN,0.22827989742775356
NOTUM,0.22818957953826016
LGALS3,0.22784679524064638
AMD1,0.2271706818993576
IFI16,0.22700832682917774
CLIC6,0.2264007990916281
SERPINH1,0.226385238554242
